id,data,conselho,tipo_documento,categoria,gravidade,raca_cor,faixa_etaria,texto,tokens,texto_limpo
CT-1000,2024-11-23,Conselho Tutelar Centro,Relatório de Atendimento,negligência,alta,branca,6-11,Criança de 7 anos encontrada sozinha em casa por três dias. Mãe ausentou-se sem deixar alimento ou responsável. Vizinhos acionaram o conselho. Criança apresentava sinais de desnutrição.,"['crianca', 'ano', 'encontrar', 'sozinho', 'casa', 'tre', 'dia', 'mae', 'ausentar', 'deixar', 'alimento', 'responsavel', 'vizinho', 'acionar', 'conselho', 'criancar', 'apresentar', 'sinal', 'desnutricao']",crianca ano encontrar sozinho casa tre dia mae ausentar deixar alimento responsavel vizinho acionar conselho criancar apresentar sinal desnutricao
CT-1001,2024-04-24,Conselho Tutelar Centro,Termo de Ocorrência,negligência,média,parda,0-5,Adolescente de 14 anos relatou que não frequenta escola há dois meses. Responsável afirmou não ter condições de levá-lo. Residência sem condições básicas de higiene.,"['adolescente', 'ano', 'relatar', 'nao', 'frequentar', 'escola', 'dois', 'mês', 'responsavel', 'afirmar', 'nao', 'ter', 'condicoes', 'levar', 'residencia', 'condicoe', 'basico', 'higiene']",adolescente ano relatar nao frequentar escola dois mês responsavel afirmar nao ter condicoes levar residencia condicoe basico higiene
CT-1002,2024-10-29,Conselho Tutelar Norte,Relatório de Atendimento,negligência,média,parda,0-5,Menor de 5 anos sem vacinação em dia. Família não compareceu a nenhuma consulta pediátrica no último ano. Agente de saúde encaminhou o caso.,"['pequeno', 'ano', 'vacinacao', 'dia', 'familia', 'nao', 'comparecer', 'nenhum', 'consulta', 'pediatrico', 'em o', 'ultimo', 'ano', 'agente', 'saude', 'encaminhar', 'caso']",pequeno ano vacinacao dia familia nao comparecer nenhum consulta pediatrico em o ultimo ano agente saude encaminhar caso
CT-1003,2024-04-21,Conselho Tutelar Centro,Termo de Ocorrência,trabalho infantil,média,amarela,0-5,Criança de 9 anos trabalhando em feira junto ao pai. Não estava frequentando escola regularmente. Situação de trabalho infantil identificada.,"['crianca', 'ano', 'trabalhar', 'feira', 'junto', 'a o', 'pai', 'nao', 'frequentar', 'escola', 'regularmente', 'situacao', 'trabalho', 'infantil', 'identificar']",crianca ano trabalhar feira junto a o pai nao frequentar escola regularmente situacao trabalho infantil identificar
CT-1004,2024-10-14,Conselho Tutelar Centro,Termo de Ocorrência,negligência,média,amarela,15-17,Responsável relatou dificuldade em manter alimentação regular dos três filhos menores. Renda familiar insuficiente. Solicitado encaminhamento ao CRAS.,"['responsavel', 'relatar', 'dificuldade', 'manter', 'alimentacao', 'regular', 'de o', 'tres', 'filho', 'pequeno', 'renda', 'familiar', 'insuficiente', 'solicitar', 'encaminhamento', 'a o', 'cras']",responsavel relatar dificuldade manter alimentacao regular de o tres filho pequeno renda familiar insuficiente solicitar encaminhamento a o cras
CT-1005,2024-04-22,Conselho Tutelar Norte,Termo de Ocorrência,violência doméstica,alta,branca,0-5,Adolescente de 15 anos relatou agressão física pelo padrasto. Marcas visíveis no braço esquerdo. Mãe presente e confirma os fatos. Boletim de ocorrência registrado.,"['adolescente', 'ano', 'relatar', 'agressao', 'fisico', 'por o', 'padrasto', 'marca', 'visivel', 'em o', 'braco', 'esquerdo', 'mae', 'presente', 'confirmar', 'fato', 'boletim', 'ocorrencia', 'registrar']",adolescente ano relatar agressao fisico por o padrasto marca visivel em o braco esquerdo mae presente confirmar fato boletim ocorrencia registrar
CT-1006,2024-03-22,Conselho Tutelar Sul,Ata de Reunião,violência doméstica,alta,branca,12-14,Criança de 8 anos apresentou hematomas na região das costas. Professora da escola acionou o conselho após suspeita de maus-tratos. Pais negam agressão.,"['crianca', 'ano', 'apresentar', 'hematoma', 'em o', 'regiao', 'de o', 'costa', 'professora', 'de o', 'escola', 'acionar', 'conselho', 'apos', 'suspeito', 'mau', 'trato', 'pai', 'negar', 'agressao']",crianca ano apresentar hematoma em o regiao de o costa professora de o escola acionar conselho apos suspeito mau trato pai negar agressao
CT-1007,2024-03-20,Conselho Tutelar Centro,Ata de Reunião,violência doméstica,média,parda,0-5,Menor relatou violência verbal e psicológica constante por parte da genitora. Professores relataram mudança brusca de comportamento nas últimas semanas.,"['pequeno', 'relatar', 'violencia', 'verbal', 'psicologico', 'constante', 'parte', 'de o', 'genitora', 'professor', 'relatar', 'mudanca', 'brusco', 'comportamento', 'em o', 'ultimo', 'semana']",pequeno relatar violencia verbal psicologico constante parte de o genitora professor relatar mudanca brusco comportamento em o ultimo semana
CT-1008,2024-07-13,Conselho Tutelar Centro,Ata de Reunião,violência doméstica,alta,branca,12-14,Vizinhos relataram gritos e barulhos frequentes durante a madrugada. Criança de 6 anos encontrada em estado de agitação e medo extremo na abordagem.,"['vizinho', 'relatar', 'grito', 'barulho', 'frequente', 'durante', 'madrugada', 'crianco', 'ano', 'encontrar', 'estado', 'agitacao', 'medo', 'extremo', 'em o', 'abordagem']",vizinho relatar grito barulho frequente durante madrugada crianco ano encontrar estado agitacao medo extremo em o abordagem
CT-1009,2024-01-23,Conselho Tutelar Sul,Ata de Reunião,violência doméstica,alta,amarela,0-5,Adolescente de 16 anos fugiu de casa após episódio de violência. Abrigado temporariamente por familiar. Relata histórico de agressões físicas recorrentes.,"['adolescente', 'ano', 'fugir', 'casa', 'apos', 'episodio', 'violencia', 'abrigar', 'temporariamente', 'familiar', 'relatar', 'historico', 'agressoes', 'fisico', 'recorrente']",adolescente ano fugir casa apos episodio violencia abrigar temporariamente familiar relatar historico agressoes fisico recorrente
